@relation scenario_1

@attribute timestamps numeric
@attribute latitude_degree numeric
@attribute longitude_degree numeric
@attribute accelerator_pedal numeric
@attribute brake_pressure numeric
@attribute steering_angle_calculated numeric
@attribute vehicle_speed numeric
@attribute steering_angle_calculated_sign numeric

@data
1554115578474385,48.143035,11.575655,17.2,0,23.602694,3.906707,0
1554115578478433,48.143035,11.575655,17.2,0,23.55711,3.925913,0
1554115578482481,48.143035,11.575655,17.2,0,23.51512,3.946869,0
1554115578486529,48.143035,11.575655,17.2,0,23.456442,3.969221,0
1554115578490577,48.143035,11.575655,17.2,0,23.361242,3.992204,0
1554115578494625,48.143035,11.575655,17.2,0,23.233445,4.015054,0
1554115578498673,48.143035,11.575655,17.2,0,23.11196,4.037004,0
1554115578502721,48.143035,11.575655,17.2,0,23.030623,4.057413,0
1554115578506769,48.143035,11.575655,17.2,0,22.97824,4.076382,0
1554115578510817,48.143035,11.575655,17.2,0,22.928058,4.094302,0
1554115578514865,48.143035,11.575655,17.2,0,22.867853,4.111561,0
1554115578518913,48.143035,11.575655,17.2,0,22.803736,4.128548,0
1554115578522961,48.143035,11.575655,17.2,0,22.741707,4.14563,0
1554115578527009,48.143035,11.575655,17.2,0,22.68164,4.163058,0
1554115578531057,48.143035,11.575655,17.2,0,22.62163,4.181046,0
1554115578535105,48.143035,11.575655,17.2,0,22.560919,4.19981,0
1554115578539153,48.143035,11.575655,17.2,0,22.499985,4.219563,0
1554115578543201,48.143035,11.575655,17.2,0,22.439238,4.240445,0
1554115578547249,48.143035,11.575655,17.2,0,22.378566,4.262275,0
1554115578551297,48.143035,11.575655,17.2,0,22.317743,4.284787,0
1554115578555345,48.143035,11.575655,17.2,0,22.256914,4.307715,0
1554115578559393,48.143035,11.575655,17.2,0,22.196563,4.330792,0
1554115578563441,48.143035,11.575655,17.2,0,22.13671,4.353779,0
1554115578567489,48.143035,11.575655,17.2,0,22.075777,4.376527,0
1554115578571537,48.143035,11.575655,17.2,0,22.012161,4.398912,0
1554115578575585,48.143035,11.575655,17.2,0,21.949194,4.420805,0
1554115578579633,48.143035,11.575655,17.2,0,21.894098,4.442082,0
1554115578583681,48.143035,11.575655,17.2,0,21.846108,4.462698,0
1554115578587729,48.143035,11.575655,17.2,0,21.781679,4.482857,0
1554115578591777,48.143035,11.575655,17.2,0,21.676501,4.502808,0
1554115578595825,48.143035,11.575655,17.2,0,21.546173,4.522799,0
1554115578599873,48.143035,11.575655,17.2,0,21.433254,4.543079,0
1554115578603921,48.143035,11.575655,17.2,0,21.362314,4.563874,0
1554115578607969,48.143035,11.575655,17.2,0,21.313736,4.585344,0
1554115578612017,48.143035,11.575655,17.2,0,21.263079,4.607643,0
1554115578616065,48.143035,11.575655,17.2,0,21.202293,4.630924,0
1554115578620113,48.143035,11.575655,17.2,0,21.132834,4.655337,0
1554115578624161,48.143035,11.575655,17.2,0,21.061899,4.68088,0
1554115578628209,48.143035,11.575655,17.2,0,21.007995,4.707216,0
1554115578632257,48.143035,11.575655,17.2,0,20.987893,4.733964,0
1554115578636305,48.143035,11.575655,17.2,0,20.992892,4.760745,0
1554115578640353,48.143035,11.575655,17.2,0,21.001891,4.78718,0
1554115578644401,48.143035,11.575655,17.2,0,21.003028,4.812975,0
1554115578648449,48.143035,11.575655,17.2,0,21.000417,4.837989,0
1554115578652497,48.143035,11.575655,17.2,0,20.999073,4.862099,0
1554115578656545,48.143035,11.575655,17.2,0,20.999475,4.885179,0
1554115578660593,48.143035,11.575655,17.2,0,21.000221,4.90711,0
1554115578664641,48.143035,11.575655,17.2,0,21.000448,4.92796,0
1554115578668689,48.143035,11.575655,17.2,0,21.000081,4.94809,0
1554115578672737,48.143035,11.575655,17.2,0,20.99928,4.96789,0
1554115578676785,48.143035,11.575655,17.2,0,20.999165,4.987748,0
1554115578680833,48.143035,11.575655,17.2,0,21.00111,5.00805,0
1554115578684881,48.143035,11.575655,17.200001,0,21.003394,5.029044,0
1554115578688929,48.143035,11.575655,17.200001,0,21.000437,5.050794,0
1554115578692977,48.143035,11.575655,17.199998,0,20.990295,5.073355,0
1554115578697025,48.143035,11.575655,17.199996,0,20.989386,5.09678,0
1554115578701073,48.143035,11.575655,17.200002,0,21.018778,5.121111,0
1554115578705121,48.143035,11.575655,17.200015,0,21.079327,5.1461,0
1554115578709169,48.143035,11.575655,17.200008,0,21.150238,5.171164,0
1554115578713217,48.143035,11.575655,17.199964,0,21.214328,5.195704,0
1554115578717265,48.143035,11.575655,17.199943,0,21.272894,5.21912,0
1554115578721313,48.143035,11.575655,17.200045,0,21.331617,5.240846,0
1554115578725361,48.143035,11.575655,17.20021,0,21.392432,5.261023,0
1554115578729409,48.143035,11.575655,17.200088,0,21.45384,5.28048,0
1554115578733457,48.143035,11.575655,17.199456,0,21.514663,5.300078,0
1554115578737505,48.143035,11.575655,17.19923,0,21.575219,5.320675,0
1554115578741553,48.143035,11.575655,17.200783,0,21.636083,5.343093,0
1554115578745601,48.143035,11.575655,17.203,0,21.697042,5.367516,0
1554115578749649,48.143035,11.575655,17.200922,0,21.757268,5.393603,0
1554115578753697,48.143035,11.575655,17.191939,0,21.816755,5.420996,0
1554115578757745,48.143035,11.575655,17.18972,0,21.877833,5.449336,0
