@relation scenario_2

@attribute timestamps numeric
@attribute latitude_degree numeric
@attribute longitude_degree numeric
@attribute accelerator_pedal numeric
@attribute brake_pressure numeric
@attribute steering_angle_calculated numeric
@attribute vehicle_speed numeric
@attribute steering_angle_calculated_sign numeric

@data
1554115554311873,48.142959,11.575899,8,0,14.849811,9.803446,0
1554115554315921,48.142959,11.575898,8,0,14.849948,9.817889,0
1554115554319969,48.142959,11.575898,8,0,14.849957,9.830982,-0
1554115554324017,48.142959,11.575898,8,0,14.849735,9.842228,-0
1554115554328065,48.142959,11.575898,8,0,14.849909,9.852164,-0
1554115554332113,48.142959,11.575897,8,0,14.850859,9.861527,0
1554115554336161,48.142959,11.575897,8,0,14.851107,9.871058,0
1554115554340209,48.142959,11.575897,8,0,14.848595,9.881495,-0
1554115554344257,48.142959,11.575897,8,0,14.845425,9.893243,-0
1554115554348305,48.142959,11.575897,8,0,14.849212,9.905816,-0
1554115554352353,48.142959,11.575896,8,0,14.862968,9.918579,0
1554115554356401,48.142959,11.575896,8,0,14.864736,9.930899,0
1554115554360449,48.142959,11.575896,8,0,14.826014,9.942143,-0
1554115554364497,48.142959,11.575896,7.999999,0,14.754863,9.95208,-0
1554115554368545,48.142959,11.575896,7.999999,0,14.700509,9.961378,-0
1554115554372593,48.142959,11.575896,8.000002,0,14.697284,9.970821,0
1554115554376641,48.142959,11.575896,8.000004,0,14.707367,9.981198,0
1554115554380689,48.142959,11.575895,7.999997,0,14.676433,9.993289,-0
1554115554384737,48.142959,11.575895,7.999985,0,14.605377,10.007302,-0
1554115554388785,48.142959,11.575895,7.999993,0,14.548603,10.022348,0
1554115554392833,48.142959,11.575895,8.000038,0,14.542561,10.037412,0
1554115554396881,48.142959,11.575895,8.000057,0,14.552904,10.051481,0
1554115554400929,48.142959,11.575895,7.99995,0,14.532036,10.06355,-0
1554115554404977,48.142959,11.575895,7.999787,0,14.470844,10.073256,-0
1554115554409025,48.142959,11.575895,7.999921,0,14.392083,10.081279,0
1554115554413073,48.142959,11.575895,8.000562,0,14.317428,10.088393,0
1554115554417121,48.142959,11.575895,8.00076,0,14.262462,10.095371,0
1554115554421169,48.142959,11.575895,7.999147,0,14.240131,10.10298,-0
1554115554425217,48.142959,11.575895,7.996973,0,14.243301,10.111643,-0
1554115554429265,48.142959,11.575895,7.999264,0,14.250563,10.121304,0
1554115554433313,48.142959,11.575895,8.008359,0,14.249087,10.131875,0
1554115554437361,48.142959,11.575895,8.010082,0,14.248185,10.143266,0
1554115554441409,48.142959,11.575895,7.985767,0,14.258264,10.155383,-0
